portfolio,trade id,product,side,created at,size,size unit,price,fee,total,"price/fee/total unit"
default,0,XLM-USD,BUY,2021-02-23T14:33:10.294Z,25,XLM,0.393586,0.04919825,-9.88884825,"USD"
default,0,XLM-USD,BUY,2021-03-04T03:15:22.509Z,11,XLM,0.423,0.023265,-4.676265,"USD"
default,0,XLM-USD,BUY,2021-03-04T22:04:32.469Z,24,XLM,0.408921,0.04907052,-9.86317452,"USD"
default,0,XLM-USD,BUY,2021-03-15T01:30:44.264Z,250,XLM,0.392999,0.49124875,-98.74099875,"USD"
default,0,LTC-USD,BUY,2021-02-14T02:09:03.882Z,0.04447833,LTC,223.71,0.0497512360215,-9.9999984403215,"USD"
default,0,LTC-USD,BUY,2021-02-16T00:14:02.028Z,0.04820623,LTC,206.41,0.0497512396715,-9.9999991739715,"USD"
default,0,LTC-USD,BUY,2021-02-19T21:33:11.791Z,0.04138522,LTC,240.43,0.049751242223,-9.999999686823,"USD"
default,0,LTC-USD,BUY,2021-02-24T16:25:48.319Z,0.05460269,LTC,182.23,0.0497512409935,-9.9999994396935,"USD"
default,0,LTC-USD,BUY,2021-02-27T15:59:52.203Z,0.0578133,LTC,172.11,0.049751235315,-9.999998298315,"USD"
default,0,LTC-USD,BUY,2021-03-03T16:13:35.267Z,0.10309002,LTC,193.04,0.099502487304,-19.999999948104,"USD"
default,0,LTC-USD,BUY,2021-03-03T19:02:42.802Z,0.05210645,LTC,190.96,0.04975123846,-9.99999893046,"USD"
default,0,LTC-USD,BUY,2021-03-04T22:02:25.116Z,0.05530066,LTC,179.93,0.049751238769,-9.999998992569,"USD"
default,0,LTC-USD,BUY,2021-03-08T02:26:50.990Z,1,LTC,190.77,0.95385,-191.72385,"USD"
default,0,LTC-USD,BUY,2021-03-14T02:07:18.231Z,0.25,LTC,225.4,0.28175,-56.63175,"USD"
default,0,LTC-USD,BUY,2021-03-15T16:53:23.652Z,0.25,LTC,199.11,0.2488875,-50.0263875,"USD"
default,0,LTC-USD,BUY,2021-03-15T17:02:52.959Z,0.245,LTC,199.25,0.24408125,-49.06033125,"USD"
default,0,LTC-USD,BUY,2021-03-15T17:02:53.031Z,0.005,LTC,199.25,0.00498125,-1.00123125,"USD"
default,0,LTC-USD,BUY,2021-03-15T17:14:44.755Z,0.245,LTC,198.77,0.24349325,-48.94214325,"USD"
default,0,LTC-USD,BUY,2021-03-15T17:14:52.752Z,0.005,LTC,198.77,0.00496925,-0.99881925,"USD"
default,0,ETH-USD,BUY,2021-02-14T02:08:14.951Z,0.00539668,ETH,1843.77,0.049751183418,-9.999987867018,"USD"
default,0,ETH-USD,BUY,2021-02-14T22:38:18.207Z,0.00543141,ETH,1831.98,0.049751172459,-9.999985664259,"USD"
default,0,ETH-USD,BUY,2021-02-16T00:15:34.014Z,0.00562866,ETH,1767.78,0.049751162874,-9.999983737674,"USD"
default,0,ETH-USD,BUY,2021-02-17T00:46:03.413Z,0.01120681,ETH,1775.75,0.0995024642875,-19.9999953217875,"USD"
default,0,ETH-USD,BUY,2021-02-17T18:50:00.751Z,0.005478,ETH,1816.4,0.049751196,-9.999990396,"USD"
default,0,ETH-USD,BUY,2021-02-18T19:06:44.644Z,0.00514373,ETH,1934.44,0.049751185306,-9.999988246506,"USD"
default,0,ETH-USD,BUY,2021-02-19T21:32:10.669Z,0.0050751,ETH,1960.6,0.0497512053,-9.9999922653,"USD"
default,0,ETH-USD,BUY,2021-02-20T18:09:00.429Z,0.00496804,ETH,2002.85,0.04975119457,-9.99999010857,"USD"
default,0,ETH-USD,BUY,2021-02-21T14:12:54.145Z,0.0050966,ETH,1952.33,0.04975122539,-9.99999630339,"USD"
default,0,ETH-USD,BUY,2021-02-22T12:30:12.982Z,0.00558497,ETH,1781.61,0.0497511920085,-9.9999895937085,"USD"
default,0,ETH-USD,BUY,2021-02-22T20:45:22.853Z,0.00558977,ETH,1780.08,0.049751188908,-9.999988970508,"USD"
default,0,ETH-USD,BUY,2021-02-23T14:32:51.314Z,0.0063728,ETH,1561.36,0.04975117504,-9.99998618304,"USD"
default,0,ETH-USD,BUY,2021-02-24T16:25:13.475Z,0.00599362,ETH,1660.14,0.049751241534,-9.999999548334,"USD"
default,0,ETH-USD,BUY,2021-02-25T12:56:59.216Z,0.01213267,ETH,1640.24,0.099502453204,-19.999993094004,"USD"
default,0,ETH-USD,BUY,2021-02-27T16:00:23.174Z,0.00685278,ETH,1452,0.0497511828,-9.9999877428,"USD"
default,0,ETH-USD,BUY,2021-02-28T21:52:05.784Z,0.00700815,ETH,1419.81,0.0497512072575,-9.9999926587575,"USD"
default,0,ETH-USD,BUY,2021-03-03T04:26:44.391Z,0.0064542,ETH,1541.67,0.04975123257,-9.99999774657,"USD"
default,0,ETH-USD,BUY,2021-03-03T16:15:47.713Z,0.0061865,ETH,1608.38,0.04975121435,-9.99999408435,"USD"
default,0,ETH-USD,BUY,2021-03-04T22:02:35.519Z,0.00654953,ETH,1519.23,0.0497512123095,-9.9999936742095,"USD"
default,0,ETH-USD,BUY,2021-03-07T01:51:38.728Z,1,ETH,1660.12,8.3006,-1668.4206,"USD"
default,0,ETH-USD,BUY,2021-03-11T05:02:57.217Z,0.03,ETH,1795.54,0.269331,-54.135531,"USD"
default,0,ETH-USD,BUY,2021-03-13T04:16:39.966Z,0.01133522,ETH,1751.88,0.099289726068,-19.957234939668,"USD"
default,0,ETH-USD,BUY,2021-03-14T01:44:09.881Z,0.0044788,ETH,1907.11,0.04270782134,-8.58427208934,"USD"
default,0,ETH-USD,BUY,2021-03-14T01:44:16.363Z,0.00130201,ETH,1907.11,0.0124153814555,-2.4954916725555,"USD"
default,0,ETH-USD,BUY,2021-03-14T01:53:06.809Z,0.05211607,ETH,1908.75,0.4973827430625,-99.9739313555625,"USD"
default,0,ETH-USD,BUY,2021-03-14T16:06:16.041Z,0.02260972,ETH,1841.65,0.20819595419,-41.84738679219,"USD"
default,0,BTC-USD,BUY,2021-02-14T02:07:09.339Z,0.00020881,BTC,47650,0.0497489825,-9.9995454825,"USD"
default,0,BTC-USD,BUY,2021-02-14T22:37:51.794Z,0.00020224,BTC,49199.99,0.049751029888,-9.999957007488,"USD"
default,0,BTC-USD,BUY,2021-02-16T00:15:00.137Z,0.00020883,BTC,47647.36,0.049750990944,-9.999949179744,"USD"
default,0,BTC-USD,BUY,2021-02-17T00:46:42.112Z,0.00020149,BTC,49382.44,0.049750339178,-9.999818174778,"USD"
default,0,BTC-USD,BUY,2021-02-17T18:50:44.664Z,0.00019349,BTC,51425.08,0.049751193646,-9.999989922846,"USD"
default,0,BTC-USD,BUY,2021-02-18T19:06:18.352Z,0.00019168,BTC,51909.99,0.049750534416,-9.999857417616,"USD"
default,0,BTC-USD,BUY,2021-02-19T21:31:07.832Z,0.00017733,BTC,56108.8,0.04974886752,-9.99952237152,"USD"
default,0,BTC-USD,BUY,2021-02-20T18:08:49.546Z,0.00017402,BTC,57175.96,0.049748802796,-9.999509361996,"USD"
default,0,BTC-USD,BUY,2021-02-21T14:12:11.681Z,0.00034782,BTC,57213.33,0.099499702203,-19.999440142803,"USD"
default,0,BTC-USD,BUY,2021-02-22T12:29:12.564Z,0.000186,BTC,53494.64,0.0497500152,-9.9997530552,"USD"
default,0,BTC-USD,BUY,2021-02-22T20:43:07.320Z,0.00018376,BTC,54147.35,0.04975058518,-9.99986762118,"USD"
default,0,BTC-USD,BUY,2021-02-23T14:32:35.463Z,0.00041015,BTC,48519.66,0.099501692745,-19.999840241745,"USD"
default,0,BTC-USD,BUY,2021-02-24T16:24:57.884Z,0.00040174,BTC,49535.42,0.099501798154,-19.999861428954,"USD"
default,0,BTC-USD,BUY,2021-02-25T12:56:37.045Z,0.0001941,BTC,51262.28,0.04975004274,-9.99975859074,"USD"
default,0,BTC-USD,BUY,2021-02-26T00:24:58.152Z,0.00042266,BTC,47083.85,0.099502300205,-19.999962341205,"USD"
default,0,BTC-USD,BUY,2021-02-26T00:25:26.329Z,0.00042443,BTC,46886.98,0.099501204607,-19.999742126007,"USD"
default,0,BTC-USD,BUY,2021-02-26T04:19:11.069Z,0.00210176,BTC,47342.28,0.497510552064,-99.999620964864,"USD"
default,0,BTC-USD,BUY,2021-02-26T06:11:06.213Z,0.00021511,BTC,46254.8,0.04974935014,-9.99961937814,"USD"
default,0,BTC-USD,BUY,2021-02-26T13:24:51.122Z,0.00021465,BTC,46355.01,0.0497505144825,-9.9998534109825,"USD"
default,0,BTC-USD,BUY,2021-02-27T15:58:57.011Z,0.00021306,BTC,46699.95,0.049749456735,-9.999640803735,"USD"
default,0,BTC-USD,BUY,2021-02-28T03:42:04.590Z,0.00022282,BTC,44655.02,0.049750157782,-9.999781714182,"USD"
default,0,BTC-USD,BUY,2021-02-28T21:15:47.964Z,0.00025777,BTC,44995.81,0.0579928497185,-11.6565627934185,"USD"
default,0,BTC-USD,BUY,2021-03-02T03:53:28.764Z,0.00020309,BTC,48992.09,0.0497490177905,-9.9995525758905,"USD"
default,0,BTC-USD,BUY,2021-03-03T04:27:35.372Z,0.00020205,BTC,49244.53,0.0497492864325,-9.9996065729325,"USD"
default,0,BTC-USD,BUY,2021-03-03T16:15:07.836Z,0.00019463,BTC,51123.08,0.049750425302,-9.999835485702,"USD"
default,0,BTC-USD,BUY,2021-03-04T20:53:30.591Z,0.00082863,BTC,48032.18,0.199004526567,-39.999909839967,"USD"
default,0,BTC-USD,BUY,2021-03-08T01:56:42.914Z,0.0038686,BTC,51441.02,0.99502364986,-199.99975362186,"USD"
default,0,BTC-USD,BUY,2021-03-10T23:57:13.243Z,0.00177848,BTC,55947.81,0.497510305644,-99.999571434444,"USD"
default,0,BTC-USD,BUY,2021-03-13T04:05:31.002Z,0.00027582,BTC,56536.84,0.077969956044,-15.671961164844,"USD"
